iteration,dataset,R2,MSE,RMSE,MAE,BIAS,SE,num_features,best_fitness
1,validation,0.7290819387856977,0.273298016211585,0.5227791275592255,0.41869451908723826,0.25689578692918885,0.4587412330640193,11,0.9499325850327296
1,test,0.8008204689833602,0.2643638373077659,0.5141632399421082,0.4125347570935093,0.3277759347916793,0.39891980413489936,11,0.9499325850327296
2,validation,0.6432729116247374,0.3598608566181013,0.5998840359753719,0.4579025496993952,-0.17307409902394977,0.5787095919785282,20,0.9318421646499699
2,test,0.8053810748072194,0.25831070900743436,0.5082427658190861,0.3940593051806627,0.18614867496181906,0.4762452224720974,20,0.9318421646499699
3,validation,0.3988903874314692,0.6063902270094244,0.7787106182719126,0.6874339511911999,0.5878332692631106,0.5145818013027392,10,0.9528209538814905
3,test,0.5071521766829085,0.6541392135821495,0.8087887323536039,0.7092348473317196,-0.6864006256801437,0.4307792548436648,10,0.9528209538814905
4,validation,0.7667023100926884,0.235347158298089,0.4851259200435378,0.37888754534126784,0.13313864932932473,0.4700197337836754,14,0.9426529369117987
4,test,0.7745743188923926,0.29919940960371677,0.546991233571176,0.43832745100886195,0.3499599743521067,0.42333975082741143,14,0.9426529369117987
5,validation,0.7308837669935779,0.2714803593430818,0.5210377715128547,0.4097202418740299,0.20095653057606455,0.4843534859128004,14,0.950344646217827
5,test,0.8042937979572815,0.2597538125171091,0.5096604874984023,0.3994382484390566,0.28196838116116224,0.4275351959328852,14,0.950344646217827
6,validation,0.6954749407247856,0.30720024428639964,0.5542564787951509,0.45063649113265697,0.23790307856488305,0.5043801890381612,14,0.9528069279858666
6,test,0.7279323496056516,0.361105620132969,0.6009206437899841,0.4965101816794384,0.4275549187703793,0.4252219574993826,14,0.9528069279858666
7,validation,0.6690649626886191,0.3338422281139983,0.5777908169173324,0.431602234302388,0.11308079537671306,0.570893537316389,13,0.9512087204544296
7,test,0.6201185197654894,0.5042030439792511,0.7100725624746045,0.5878287320870813,0.5294308423358929,0.47650774723936534,13,0.9512087204544296
8,validation,0.6687512513283898,0.3341586953588524,0.5780646117510156,0.4754884443855898,0.3294670725194539,0.47856919979419005,11,0.9437948114104648
8,test,0.8542939584097489,0.19339039547445133,0.4397617485348758,0.34227436706547665,0.14716061531575714,0.41731635434301717,11,0.9437948114104648
9,validation,0.7030888737464627,0.2995194245541699,0.547283678318813,0.45004227953582426,0.34091825622280186,0.4313598862650545,13,0.9518410114376427
9,test,0.849444953140513,0.1998263059997837,0.4470193575224497,0.34653742807511023,0.19660233936101038,0.4042819313883629,13,0.9518410114376427
10,validation,0.5960880465307778,0.40746023027222533,0.6383261159252576,0.46984290358027836,0.19337448068661334,0.6129221886069489,24,0.9440492143783824
10,test,0.5463257976555829,0.6021454735190152,0.775980330626373,0.6641180291851747,0.6208804864592193,0.468726299965427,24,0.9440492143783824
11,validation,0.7512234595625384,0.2509619870923174,0.5009610634493636,0.403297940326243,0.16810443937327693,0.4754757309105688,12,0.9467426902069271
11,test,0.857781789895567,0.18876112202066103,0.4344664797434447,0.33877331834550894,0.10253195839724254,0.42515745229214497,12,0.9467426902069271
12,validation,0.6968124479098522,0.3058509873977705,0.5530379619861285,0.4252974277412852,-0.024197795273873855,0.5566782627826504,19,0.9450749753429524
12,test,0.19303077505499344,1.0710612672238564,1.0349208990178218,0.9276599727071869,0.9266190493926683,0.4641449070399055,19,0.9450749753429524
13,validation,0.7645255815479511,0.23754300891964372,0.4873838414634237,0.3716183729401744,0.17592262740240755,0.45795682527512954,12,0.9542785064066256
13,test,0.7207657265325639,0.3706176215242242,0.6087837231104526,0.5101503213478273,0.46321720877485145,0.3978005659534052,12,0.9542785064066256
